GROEPCODE,LINKCODE,ISLID,VOLGORDE,BEHEERNIVO,LINKBLOKIMAGE
GVP,@GGVPGER,True,,0,False
GVP,@GGVPGIP,True,,0,False
ZZZ,@GCS0112,True,,0,False
DBCKEY,@GDBCGER,True,,0,False
BAPDO0,BAPDOC,True,,0,False
BAPME1,@GBAPME2,True,,0,False
BAPTP0,BAPTOP,True,,0,False
BEHEER,@GAPBBEH,True,,0,False
BEHEER,@GAPBMAP,True,,0,False
BEHEER,@GAPBRTR,True,,0,False
BEHEER,@GBAPDG0,True,,0,False
BEHEER,@GBAPOP0,True,,0,False
BEHEER,@GBAPTA0,True,,0,False
BEHEER,@GCS0097,True,,0,False
COASS,@GCOANE,True,,0,False
COASS,@GCOOOG,True,,0,False
COHEM,COHEM,True,,0,False
CONEU,CONEU,True,,0,False
CS0010,APOTHL,True,,0,False
CS0019,CS000005,True,,0,False
CS0032,@GCS0085,True,,0,False
CS0059,CS000041,True,,0,False
ZH1232,JPHILIPS,True,,0,True
CS0123,CS000219,True,,0,False
CS0146,CS000253,True,,0,False
ZZZ,@GCS0016,True,,0,False
DATANE,DATANE,True,,0,False
DATKIN,DATKIN,True,,0,False
ZH0402,SSLOOTBE,True,,0,True
DATMDL,DATMDL,True,,0,False
DATREV,DATREV,True,,0,False
DBCGYN,DBCGYN,True,,0,False
DBCKEY,@GDBCKIN,True,,0,False
DBCKEY,@GDBCREV,True,,0,False
DBCORT,DBCORT,True,,0,False
DIENST,@GFCTHK,True,,0,False
DIENST,@GTRPLCO,True,,0,False
FINCR+,FINCR+,True,,0,False
FUN,@GFUNEND,True,,0,False
ZZZ,@GKLILLV,True,,0,False
FUNKNF,FUNKNF,True,,0,False
POAPAS,@GZH1219,True,,0,False
ZZZ,@GKVBWC ,True,,0,False
ZZZ,@GRESNUC,True,,0,False
BAPMA0,ZH001089,True,,0,False
ZZZ,@GDBCBLK,True,,0,False
ZZZ,@GRESPSO,True,,0,False
GVPHEM,@GZH1028,True,,0,False
GVP,@GGVPREV,True,,0,False
GVP,@GGVPSTO,True,,0,False
ZZZ,@GRESKAA,True,,0,False
GVPCON,GVPCON,True,,0,False
GVPDEC,GVPDEC,True,,0,False
GVPDLY,GVPDLY,True,,0,False
GVPFER,GVPFER,True,,0,False
GVPGYN,GVPGYN,True,,0,False
GVPINT,@GGVPDIA,True,,0,False
GVPINF,GVPINF,True,,0,False
GVPINT,@GGVPHEM,True,,0,False
GVPINT,@GGVPONC,True,,0,False
GVPKIN,GVPKIN,True,,0,False
GVPMAM,GVPMAM,True,,0,False
GVPMDL,GVPMDL,True,,0,False
GVPOOG,GVPOOG,True,,0,False
GVPOST,GVPOST,True,,0,False
GVPREU,GVPREU,True,,0,False
GVPVAA,GVPVAA,True,,0,False
HAPGEB,@GHAPTRI,True,,0,False
HAPGEB,@GHAPASS,True,,0,False
HAPGEB,@GHAPHA,True,,0,False
HAPHIS,@GHAP,True,,0,False
HAPHIS,@GHIS,True,,0,False
HCKPLN,HCKPLN,True,,0,False
HCKSHB,HCKSHB,True,,0,False
HCKVPL,HCKVPL,True,,0,False
HIS,@GCS0032,True,,0,False
HISHA,@GCS0079,True,,0,False
IKNL,IKNL,True,,0,False
INFPRV,INFPRV,True,,0,False
KCL,@GKCLANA,True,,0,False
KCL,@GCS0012,True,,0,False
KCLANA,KCLANA,True,,0,False
KLAFCT,KLAFCT,True,,0,False
KLI,@GKLIPLN,True,,0,False
