GRPUSRCODE,USERCODE,USERBLOKIMAGE,GROUPBLOKIMAGE
ZH001407,ABECHTEN,False,True
ZH001407,ABEEK6,False,True
ZH001407,ABEEKMAN,False,True
ZH001407,ABERG7,False,True
ZH001407,ABITTERM,False,True
ZH001407,ABLANK,False,True
ZH001407,ABLOOIS,False,True
ZH001407,ABOER29,False,True
ZH001407,ABOER6,False,True
ZH001407,ABOOM,False,True
ZH001407,ABRAAT,False,True
ZH001407,ABRAND5,False,True
ZH001407,ABROEKH4,False,True
ZH001407,ABRUIN6,False,True
ZH001407,ABRUINSS,False,True
ZH001407,ABRUNING,False,True
ZH001407,00000476,False,True
ZH001407,ABUNT4,False,True
ZH001407,ABUUREN4,False,True
ZH001407,ABUUREN6,False,True
ZH001407,ACLAES,False,True
ZH001407,00000592,False,True
ZH001407,ADEIJSSE,False,True
ZH001407,ADEKKE15,False,True
ZH001407,ADEKKE17,False,True
ZH001407,ADIJK15,False,True
ZH001407,ADIJK25,False,True
ZH001407,ADIJK3,False,True
ZH001407,ADIJKEN2,False,True
ZH001407,00000177,False,True
ZH001407,ADRIJVE4,False,True
ZH001407,AEIJGERM,False,True
ZH001407,AELHORST,False,True
ZH001407,AELIGH3,False,True
ZH001407,AEYSSEN,False,True
ZH001407,AFOUDRAI,False,True
ZH001407,AGEELEN,False,True
ZH001407,AGEUS,False,True
ZH001407,AGOLEST2,False,True
ZH001407,AGOMPELM,False,True
ZH001407,AGRAAF,False,True
ZH001407,AGRAAF2,False,True
ZH001407,AGROOT13,False,True
ZH001407,AGROOT15,False,True
ZH001407,AGROOT3,False,True
ZH001407,AGROOTH4,False,True
ZH001407,AHADDIOU,False,True
ZH001407,AHAGE,False,True
ZH001407,AHAMRON2,False,True
ZH001407,AHARTGE2,False,True
ZH001407,AHARTMA4,False,True
ZH001407,AHATTINK,False,True
ZH001407,AHEEMEL3,False,True
ZH001407,AHEIDE4,False,True
ZH001407,00000577,False,True
ZH001407,AHEUL,False,True
ZH001407,AHOETINK,False,True
ZH001407,AHOORN,False,True
ZH001407,AJACOBS8,False,True
ZH001407,AJAGER3,False,True
ZH001407,00000490,False,True
ZH001407,AJANSSE,False,True
ZH001407,AJANSSE7,False,True
ZH001407,AJANSZE,False,True
ZH001407,AJONG37,False,True
ZH001407,AJONG4,False,True
ZH000685,00000462,False,False
00000138,00000502,True,False
00000527,ZCORBETT,False,False
00000527,PETTEM,False,False
00000527,MHUIZEN,False,False
00000527,SKASHEFI,False,False
ZH000873,CKAPPELL,False,False
ZH001066,00000535,True,False
RADM,00000590,False,False
ZH000730,JWALET,False,False
ZH000012,RSCHAAF,False,False
ZH000730,00000498,True,False
ZH000645,00000519,True,False
ZH000645,00000567,True,False
ZH000645,GKOK3,False,False
00000481,RKRIJGER,True,False
ZH000645,00000520,True,False
ZH001129,00000534,True,False
ZH001129,PADMIRAA,True,False
00000413,EKOPPELM,False,True
ZH000758,AREIJER2,False,False
ZH000843,AELHORST,False,False
00000481,AKERSEMA,False,False
00000481,EWAANDE3,False,False
00000481,LVEKEN,False,False
00000481,SSNIJDE3,False,False
ZH001099,00000517,True,False
ZH000608,00000517,True,False
ZH000787,SNOUWEN4,False,False
ZH000681,SNOUWEN4,False,False
ZH000683,SNOUWEN4,False,False
ZH000730,SNOUWEN4,False,False
ZH001073,TVUGT2,False,False
ZH000896,WLAOUNI,False,False
ZH000758,00000501,True,False
ZH000607,ESMEIJST,False,False
ZH000970,MJANSE28,False,False
SYSBH+,AWESTERI,False,True
ZH000683,IREUVER,False,False
ZH000730,TMANCUS2,False,False
ZH000730,THAARING,False,False
00000140,JWEUSTEN,False,False
ZH001308,FSTRATEN,False,False
ZH000067,PMULDER4,False,True
ZH000067,HEXTERKA,False,True
ZH000672,FKEIZER,False,False
ZH000672,SOUDEMAA,False,False
ZH000609,00000505,True,False
ZH001308,EHEUVEL3,False,False
ZH001407,MMEIJDE3,False,True
ZH000730,AREIJER2,False,False
ZH000758,PSUBBA,False,False
ZH001407,SEMMERIN,False,True
ZH001407,SENKELAA,False,True
ZH001407,SESVELDT,False,True
ZH001407,00000379,False,True
ZH001407,SGRESNI2,False,True
ZH001407,SGUCLU,False,True
ZH001407,SGUN,False,True
ZH001407,00000136,False,True
ZH001407,SHAMBERG,False,True
ZH001407,SHAMERSV,False,True
ZH001407,SHARDIEK,False,True
ZH001407,SHATTINK,False,True
ZH001407,SHEERDE,False,True
ZH001407,SHOFMAN,False,True
ZH001407,SHOL4,False,True
ZH001407,SHOLWERD,False,True
ZH001407,SHOPMAN2,False,True
ZH001407,SHORST2,False,True
ZH001407,SIMHOF,False,True
ZH001407,SJHARAP,False,True
ZH001407,SJOEMMAN,False,True
ZH001407,SKALAYKH,False,True
ZH001407,SKAMP,False,True
ZH001407,SKEUZENK,False,True
ZH001407,SKILIC2,False,True
ZH001407,00000357,False,True
ZH001407,SKOOLME2,False,True
ZH001407,00000228,False,True
ZH001407,SLANGESL,False,True
ZH001407,SLANGHOU,False,True
ZH001407,SLINDEN,False,True
ZH001407,ZH001094,False,True
ZH001407,SMAHMMOD,False,True
ZH001407,SMAST,False,True
ZH001407,00000185,False,True
ZH001407,SMAX,False,True
ZH001407,SMEIJVIS,False,True
ZH001407,00000424,False,True
ZH001407,SMULDER9,False,True
ZH001407,SNAIPAL,False,True
ZH001407,00000172,False,True
ZH001407,SNIJHOF,False,True
